,userid,openness,agreeableness,emotional_stability,conscientiousness,extraversion,is_personalized,enjoy_watching,avg_rating
98,8c203d63775b449645cfb8645bb0bda9,6,3.5,5.5,5.5,6,4,4,3.789855072
99,8f61ad2a1f93519bfbdd0ff541c586c4,5,5,6,5,3,4,4,3.868421053
100,8fa991e05a3e4f5850929cc1f474de00,5,3.5,4,3,3,3,4,4.404069767
101,9014860434d98ab2f6225f84924769c6,6,4,4,5.5,2.5,1,1,3.105994152
102,9090ec44d3652c058a5163f68fd2f3af,4.5,4.5,3,4.5,6,3,4,3.810457516
103,912e6694323e3ff866454a3dec7a3191,4.5,5,7,5,3.5,2,4,4.130872483
104,916de18db1f831534309a81863c53ba4,5.5,5.5,7,4.5,1,5,3,3.705813953
105,930f629e8b7182f0a51582b15ba86160,5,3,4.5,6.5,2.5,4,3,3.150768246
106,97021e7fc3f465c130c2d03a65c922f4,4.5,4,3,5,2,3,3,3.806818182
107,9b2286ed3443b47f26f179de0d110988,5,4,4,4,5,2,3,4
108,a0281787a96d5d7f03a7c7330cb67af6,7,6.5,6,4,6,4,5,3.9
109,a0f3c13f85d8ff196eeab14b8fbda711,4,5,3,4,1.5,4,5,4.586206897
110,a1a7730e1aeb6a70fbbab512ace3e606,6.5,5,7,6,4,4,4,3.89912759
111,a3f6f847abb6082b391ce58b93a72892,7,3,6.5,6.5,2,1,2,3.573631841
112,a81f8c7f8c440734bf060bf557123394,4.5,5,4,3,1.5,2,2,3.287234043
113,a8628b669a0078a4ed4fbf82b6e047d7,5.5,4,5.5,4,1.5,2,4,3.090636908
114,aa83d75d8fd2d4a3b2bc64251cd65b60,5,3,3,4,4.5,2,3,3.553892216
115,ace7804c7c6658bdb2c3cb12793fa9e8,3.5,3.5,2,3.5,1,4,5,3.797356828
116,ad44a6b801975cca855b93464fbc60c9,5.5,5.5,4.5,5,3,5,5,3.261845387
117,afc63c360bbe1c520daecac8f2d00df1,4,4,4,5.5,2.5,2,3,3.60511883
118,b05a0c35fb6e8b36ddb92f3164f23245,7,5,4,6.5,6,4,5,3.69214876
119,b0d4e298ddde788a50a41d7ca1b03f61,6.5,6.5,3.5,5.5,1.5,4,4,3.86299435
120,b12bd723297e13f94d6dce17996af49c,5.5,5.5,6.5,4,3.5,3,3,3.932515337
121,b1ffe66c21dd068ecda89ae83d0efabe,3.5,3,4.5,5,2,2,2,3.480154355
122,b41604671db6d5eeaf5d51d2484b40c8,7,6,5.5,4.5,5.5,5,5,4.210869565
123,b4bce11d89fc625704ef82ac4619c17b,6,3,6,2,3.5,4,5,4.2265625
124,b70e34923c21e3554bc08453a3819997,4,3,5.5,3.5,2.5,2,3,3.741477273
125,b9550254ceb6a975646d3a6d43017d67,4,5.5,6,4,5.5,2,4,3.245049505
126,b9e9797d22431cc65763d0568590d9ee,3.5,3.5,5.5,3.5,1,4,4,3.607594937
127,bb3e73aa29e846d21c5323cf78adf6a7,6.5,5,3,3,3,4,5,3.86440678
128,bc13269e5655dc62c1fd700661155dd3,5,3.5,5.5,6,4.5,4,4,4.085106383
129,bc9d108419ac2600fbafc46272ce1f2a,5,4.5,6.5,5,5,1,1,3.721982759
130,bd93a6a6fd678f2b2b45e85b36cabfb1,5,3.5,6,5.5,2,3,4,3.455066922
131,c06a8ef4fcb95e59d2206e77e5d062c3,5,3,4.5,3,3,4,4,3.780701754
132,c11e293807ce2c2f67d577a50ad114eb,7,4,6.5,3,5,4,4,4.222636816
133,c1dda1ca24e98b7e785a01cd43992357,4.5,2.5,1,5,5,4,5,4.286821705
134,c5cb6abd8a70167a33712aefb46ab587,5.5,4.5,4.5,6,2.5,2,2,4.12
135,c6c3ff402d1a4290a155a1bf987802df,4,6,6.5,3,1,4,4,3.44708589
136,c819730902d6a8ba232f1abb51464d56,5,5.5,6.5,5.5,4.5,2,4,3.494736842
137,c8b6a7879731a1c4508d5edb581544d9,5,4,3,3,6.5,5,5,3.637850467
138,c8d195dc7fb3706c4afa320ea0370884,5.5,4.5,6,5.5,3.5,2,3,3.911764706
139,ce1a33b28b3dc4397cf6c80bf9b23602,7,2,3,5,4.5,2,4,3.210465116
140,cec560b0bce4194769361a6dc5695c0d,5.5,5.5,7,5,4.5,4,5,3.05501497
141,d1bd623179815da4596be89517b13ba1,6.5,4.5,3,3.5,1,5,5,3.73
142,d314b346c0c6b5f8264c390324d0e71d,6.5,4,6.5,3,5.5,3,3,3.787837838
143,d66762ee504e83149495a6eebf8c8959,5.5,4,5,4,3.5,2,2,3.6
144,d6df5947daac9d2e4d01e4da61d4caf4,7,4,4,6.5,4,4,4,3.142857143
145,d92e9cc5051723ab2bcff699ac5f14e6,4,3.5,4,6,2,2,3,3.906496063
146,da7eec66296808c99884f1ea71b74d13,4,5.5,5.5,4,5.5,5,5,4.233333333
147,dacfb5eda263b54637af5de1ef325216,5,5.5,3.5,2,2.5,1,3,3.95
148,dd9a68f52fd23e04592bdf08af807371,5.5,4.5,4.5,5.5,2,4,4,3.808943089
149,ddd4f86cd0f978e85155cfa6c9f94e0c,7,7,1.5,2.5,6,1,5,4.089270746
150,debdf27243aa9581944616f421fa3fb8,6,4,4.5,5.5,1.5,2,3,3.567521368
151,defe8d29021248b0166b8581215d6f8a,6.5,4,3.5,6,7,2,3,3.737745098
152,e13af3fffe5dee59f6233806ad5e323f,4,6,5,5,3,2,2,3.088235294
153,e19deafc191fbda7a93c0f2edfd32fb6,5.5,2.5,7,4,5.5,3,4,3.946107784
154,e1e69517cf97c5047f13fa8ab45b4559,6,5.5,2.5,6,5,3,4,4.382352941
155,e219523c918743c10dbabff210943209,6,4.5,5.5,5.5,1,4,4,3.724472574
156,e4e2ad9aff8382ef405478af468268cc,6.5,4,4,5,5,2,3,3.527210884
157,e6995a53ae27af00295cd2b70ba42deb,5.5,5,4,7,5,1,2,4.48
158,e6c8e0e085aff915b4f23e3e9b56a6ee,7,2.5,4,6.5,3,4,4,4.062200957
159,e6cd1317760d4e38601623203f521e86,6,3,6,6.5,2,1,1,2.88961039
160,e7142a7d4af010afa576625b65198dcc,6,2.5,3,5.5,5.5,4,4,3.951396648
161,e7a8e0d6359cf0434ce4616b7c47fa24,5.5,4.5,4,1,2.5,5,5,3.343301435
162,e7d0e93b0d8d8cae6d4e96b75708e910,6,6,7,5.5,6,4,4,3.525547445
163,e7e7127a46b6d41cc731d173e31b5752,5.5,4.5,4,5.5,5.5,4,3,4.558823529
164,e84dfe99d244aff7e2670cec0757678e,5.5,4.5,5,2.5,3.5,4,5,3.188202247
165,e86457ef97730a4505cab3364ecc7031,5.5,4.5,3.5,5,2,4,4,3.514818356
166,ef06fd6d00ba74c65c263616501c9764,6,4.5,4,5,3,5,3,3.935135135
167,efd2126d7f53a77c39bfdd818a903e76,4.5,4.5,4,4,4.5,3,4,3.757425743
168,f1987f0cc9bc77983c86f8e0db19d4ee,7,4,1.5,6.5,1,3,4,4.234513274
169,f2bb07ee54b82f34f3f9f301115ffdf4,5.5,2.5,6,1.5,5,4,4,3.845381526
170,f57365d6324f25b1c718df4d00bd265e,5.5,3.5,3.5,3.5,3,1,1,2.437756498
171,f611fd24d73500d539ec874e01f2fa2f,5,5,2,5,6,2,3,3.118556701
172,f6ce380bdf17ac1411ed7b13bee948e3,5,4,5.5,4.5,3.5,2,3,2.770051195
173,f749053333e87cf73f500bc3fdfec450,6,6.5,6.5,6.5,4,3,3,4.016556291
174,f75ca3a770eff0f9ec5cfe7f8958ee95,4,3.5,3.5,4,1.5,2,3,3.415322581
175,f82b3cff935c60961b91b11398ccf11f,6,4,5.5,4,4.5,2,4,3.713114754
176,f90a29aa84b33f6c7532b085ec8e5bbd,4.5,4,5,6.5,5.5,4,5,4.122727273
177,fc0c2102480e72b1f4bb5f651b2385f2,4.5,4.5,5.5,4,1,3,4,3.929104478
178,fd74b92fb6dbea16a0910160a15fc656,6,7,6.5,7,5,1,4,3.8203125
